date,excess_log_return,RF,log_Mkt-RF,rev4,mom1m,log_Mkt-RF_lag2,log_Mkt-RF_lag3,aeavol,cashpr,ep,lgr,cfpq,chinvest,pchsale_pchxsga,salecash,chfeps,sfe,chnanalyst,disp,illiq,baspread,max,cash,acc,oa,ibq_adj,currat,pchcurrat,pchsale_pchinvt,pchsaleinv,O-score,first_lag_excess_return
2014-07-31,-3.965230947055977,0.0,5.116401357382163,156.77946895104313,348.28079574093704,-5.83042974832801,13.15438202125671,2428.6518130226773,-2932.532556118027,6.563044430763654,173.99215050828303,165.20024207466378,66.65635961209006,-42.89139480579471,5852.465591468563,1801.27680016033,62.59172523667993,-2455.903456543524,359.0573323752318,-0.0160000735171944,19.539417598433005,17.125634368967383,1.855977006916362,-13.075996667780103,685493.467030488,11.948039009115831,-16.54400504230398,-10.228316972093085,19.921903892329084,20.21481532960874,-166.83797669344494,2.200223775276802
2014-08-29,6.869184393912644,0.0,-4.095432022296402,142.01747266398374,149.11660099449563,62.59377525094919,-5.838022161689717,2453.703287265535,-2423.2778522789167,75.10826447389222,145.89282541189095,304.78955831786044,3.466515089331849,324.46874452720283,6625.369711663207,1973.9952466935213,66.06666051625672,-790.9379945201295,303.32384671339435,0.0129031761312177,-22.37548212760069,-0.1735906594979042,15.672653020995142,-44.11100172507432,652789.460028261,406.84852659593344,174.44023752128123,222.3323886411848,40.0650504574987,-43.91408625021083,-2186.327218578739,-3.965230947055977
2014-09-30,-6.663950697213438,0.0,8.237428893642019,-41.39433749293336,302.58589997620265,78.84256624579194,62.396325558884605,2492.5836107522364,-2561.3747198680067,77.82171329956032,152.12327338587207,332.9350025372423,60.65515037063666,343.20374363904654,6835.164637156995,70.81124918857496,89.71835365591858,-2813.5206748311084,299.78545846286227,-0.0030939094220296,41.19532569049443,-29.757849100398403,-5.283234828087132,-7.180046131195041,-104275.87305265664,-47.58243854894928,-51.70504425111949,-10.67380550500367,86.32257648095032,81.05714257399498,143.26080828327576,6.869184393912644
2014-10-31,25.511959079979377,0.0,-3.9547677703333375,211.6802779899475,0.0736644953556897,-63.33556308091525,79.1741108611078,2858.6538963827024,-2164.428361106832,77.9558406176844,142.32051807578983,310.88009329157336,48.59217367618589,339.36940899383217,7096.715708299315,228.75897175428105,89.02008102523564,2864.5911975062586,278.36496281960683,0.0003595696027679,-42.90471658124264,5.820701341094036,-1.7994263615050272,28.736522947253174,216999.8949796483,-9.924301977163111,-2.430625156091992,16.310476525335304,-28.000113573549186,-27.709682074556497,15.576598357314651,-6.663950697213438
2014-11-28,23.31406744938099,0.0,4.934180727610343,37.033447148571405,345.33910141461445,127.00944959180671,-63.04006817111336,3545.359856915408,-1711.432702718502,86.47059817644713,-58.81841710509229,438.40559761615737,-279.07481957019013,120.63255866676585,7295.043166989813,54.53520538375736,82.95042030881571,1408.4523314063338,279.7169914911265,0.0032910140002273,5.631085048104296,-18.538848115097096,-49.176433690911495,-52.44813943210198,-50477.18068873882,-173.70694789975337,-153.60797553069324,-180.47403049831104,-237.50109222191392,-209.97874381858847,1661.8366637299114,25.511959079979377
2014-12-31,13.7159504832278,0.0,5.039671526372018,-54.41645577024696,777.6803546515048,-61.95833166592743,129.31163583864424,2868.7073582878083,-2333.0370320878183,90.5610850872768,299.3083719146168,491.0399542734256,-111.66705377125751,36.08299293359997,6151.571851863887,-628.139041420043,45.90686952440749,2553.8869795391333,326.4783643169719,-0.0050766381858967,29.220120334808627,41.09319703597993,45.44277870776875,-16.18335938226241,821936.7725311294,-16.810413903729643,423.4941776745072,189.51614667621925,-79.47945593866297,-64.9573133016952,-56.87102012468495,23.31406744938099
2015-01-30,-3.2584813280725657,0.0,-0.1210219623502387,115.89365932794718,883.459524184881,78.67751731697848,-62.89920767434127,2913.0749436690608,-1138.2878438702503,91.37056894144357,302.6797440529824,505.7728018556761,-93.37938291414856,23.256674843200493,6369.623262209051,-710.7807917469478,48.31921618319791,1060.8853060809383,368.98339751330775,0.0079374314767881,-2.7488818623654367,34.99203861915237,5.157324722057467,-14.31560092420105,1057750.5715119615,1.4597737870695369,39.17799928863906,1.5192271807011934,26.477572250449228,25.54199533927899,-172.5800109758602,13.7159504832278
2015-02-27,2.29505806325038,0.0,-6.405794344114128,-98.22275394354632,947.395910855152,80.43656781700568,79.5019333802981,2857.674915744948,2243.4626260537893,44.596301087940056,440.40131046299126,441.5564707829402,-7.669044388775006,-81.13374167353824,6667.185332387986,-674.7515719966759,48.81133201380738,580.0454969993004,376.7987818495192,0.0177219015861431,48.48670714563468,12.396977768662111,-31.21467990495978,-64.80389794811731,1716893.2035197392,-59.76072616357545,-36.72776113473583,-18.547102330224973,47.34720346801262,88.19797008728165,-217.89970579172223,-3.2584813280725657
2015-03-31,7.219103151147162,0.0,12.066697881422384,394.5906482271988,576.060960524124,-1.9132110720196904,80.26795321909182,3138.455324981932,2976.394262568632,18.98158679522741,96.87362428187438,434.560975576616,-68.98219430296923,-94.37941970216274,6685.502187385939,298.2761827329821,47.6493085148931,348.02635633790044,556.5370864554128,-0.0168197283544473,-62.8870292850481,-17.71629337363919,-1.6696939397479014,-11.105378360704094,-120135.95354754478,-21.04125174950892,-73.65921918042386,-226.68859380520948,-9.00153291317422,2.2343054017170374,664.934862552629,2.29505806325038
2015-04-30,-5.016832750032877,0.0,-2.2834458141649443,382.22670248824704,304.8826144893609,-100.8944970365958,-1.916664955870888,2900.83411134328,2110.6414508490284,17.18414354304424,149.541188811536,451.2975581800837,-146.6118855094983,-92.18216104597656,6285.460403440784,467.6138670239641,44.45318383477116,-1172.2623830908417,549.0462073947497,0.0108087141796219,10.59009826705551,1.496676601420063,9.262088398390516,-18.04347653576121,452005.7813903541,-4.58661357458962,90.48062455384115,54.96261598544038,71.29209215004751,67.40421885375423,131.73060712552433,7.219103151147162
