date,excess_log_return,illiq,log_Mkt-RF,coskew,rev3,log_Mkt-RF_lag3,log_Mkt-RF_lag4,pctacc,chatq,ibq_adj,chinvest,pchdepr,chfeps,sfe,chnanalyst,disp,turn,RF,mom,mom1m,cash,rd_mve,quick,stdacc,oa,noa,currat,dy,roaq,roavol,chsaleq,first_lag_excess_return
2016-07-29,12.655596889622558,22.16135504922989,-0.300127781632566,728.8957400513257,489.1438889059958,607.5733951366665,-7.226932184711487,-82.78970013835094,335.8740494721725,-17.352605466442192,313.28858103359863,74.24544723832514,1624.1652892789791,2.9868327135857173,186.63141242431848,1364.1553505798438,2574.681482733474,6.00044040289583,-159.13706272618128,509.2240495823137,2.0840620323826897,-16.32712054565637,31.655439812999248,-0.0131908510555085,201215.8619416058,66707.30166479945,20.92413740995471,3.921314449699352,-0.0883525990051623,-0.0097282159104565,133.4848961368823,35.23363276310542
2016-08-31,1.82036016409772,2.89312829755241,23.334724238485418,143.5590176646265,164.46716548486418,83.33321255605895,612.2043374016637,-82.90488753144551,391.38751116231134,-23.439704880773817,313.8308690165227,491.6883727264632,1456.8137984866996,2.7032079143589502,-3782.7089185966847,1223.9871122874158,-2303.251583846765,0.0452297288278291,71.95358408345828,-309.21326346883814,23.5265429493644,0.0641345340219139,151.8755433171973,0.0389441949508322,1287643.9524691105,886053.7529119402,231.3311395698547,5.444947068557354,17.27683508499905,1.4585194664330885,409.6652525437594,12.655596889622558
2016-09-30,-13.863452756570464,6.71631128756879,3.008826362457941,68.7303562032139,46.71281684275285,160.9405288561019,83.53715300627904,-6.679472461098674,159.31695275227705,238.29406918183685,0.9951124619958618,236.67542592160436,652.8798861936598,93.13485525849325,-8714.192650909497,1060.5422296350062,269.874358279656,0.0185637482938094,-100.26166782568224,-173.65445425636767,33.62512164207976,0.2190635660997939,50.01756558943089,0.1803309957035317,303734.41768817604,-54905.08873796463,0.5764917339911335,8.93447440054021,69.89662408802417,3.513621456269547,1231.8896882789732,1.82036016409772
2016-10-31,-12.246069679940774,3.308821989228186,1.5072547541429542,118.91789462394156,559.5591444027118,-4.564560384610728,161.0385443996735,15.73062741411428,198.3051086957103,363.1367040886398,-63.716387845920025,140.47885707519237,687.1008746029707,96.8464466791151,-5745.956457367675,973.6466964621064,-62.56357033805125,0.0077884856409564,366.6242241989016,-231.24938894374367,-6.120677492679761,-0.5652440002974952,-98.18975289643458,0.1449545571069261,-252923.7673585266,-539125.9620644152,-183.5408200214115,-8.678909542707032,50.61016798504971,14.487780070616168,-59.68683729882537,-13.863452756570464
2016-11-30,-1.7773931969236028,3.612851101624019,-12.297798814336844,473.1117599127186,169.44031877595214,352.3935069942403,-4.549510972108581,31.64018186253122,233.19536076684383,261.3532674514436,-148.4360511679161,-19.494258243808552,286.4946219759708,102.05059047585128,-570.476685877723,1308.0918671558868,-559.3873259521743,-0.0205469925045527,-131.52414995505524,-717.2988739495357,38.77058316490002,-2.69558284018578,128.7057976082342,-0.205506959787777,-836863.6184880883,-1314904.755144149,-60.71145838905432,-8.891477216128706,3.375439921902341,-12.543946556405672,-41.54952765976213,-12.246069679940774
2016-12-30,25.212485969721406,11.2827666152223,28.556948062635826,536.969685637777,8.830713660238025,45.24318027237304,351.4206319042247,-143.0381978487687,255.1473662654963,-305.2472483866034,-107.61843594946332,-246.38490091528308,-341.0975585010195,91.34567767736382,4924.195047802685,1381.637659313406,-119.71578607189532,-6.036906629567024,58.65558967623747,-237.6243647715441,99.3055455583426,3.635510197790589,1413.8546499205331,0.1936282314052606,-229566.87428420785,-324842.1354303062,1333.363485976577,8.589947727287822,-78.67342318457929,-3.278930091616161,-1247.3245638268788,-1.7773931969236028
2017-01-31,-7.568427448763825,3.4683266332592413,10.844378257243532,484.38197730439936,-203.4916251847845,22.60731251442252,45.15850970515338,-134.3446002417773,224.6712412034294,-329.9114196713352,-247.4713353623171,-56.159113306489246,-815.245953167473,88.66397215961783,7824.913020888246,1490.9361937007284,-1769.2685128658777,12.024774212970035,71.60596927379447,404.91836641506495,13.964870032188514,-0.0074341816254293,118.64422206501332,0.0041490588243151,-1558825.7000540197,-1102207.826893583,91.88161075514654,8.861691870921405,4.485289697043896,0.0519946496654597,73.367332210498,25.212485969721406
2017-02-28,16.006698519598665,226.59005969170477,11.580451003380588,137.91635170576893,-166.1372815689873,-185.74045895016252,22.726167285901383,-160.3527903344992,196.93527143314464,-337.22734301647046,-244.471960565842,24.1986411286034,-1030.5421458168155,88.08783740829941,8056.571877840164,1447.9656585336538,926.4111868079208,6.074804260844189,-239.30403263182825,110.9110672525914,-10.35193790040023,1.4107929428852222,138.98867277263707,-0.0033300833272811,722856.2476425171,427237.2805267274,295.51593306372524,3.745471955630393,1.6430239331526195,0.9401101317886004,88.57400469824657,-7.568427448763825
2017-03-31,12.450641175839358,26.33189480469014,21.11951654031869,269.2622775267376,-51.85886234496236,431.17279268364223,-185.39201134431,-158.48006975999937,6.005069992186437,6.801230929566279,149.42187309056658,309.2360507892298,-1130.05654299463,83.6461369267836,5128.400909821502,1249.8615169510274,1070.6185720568535,-0.024971411978182,112.91555175168968,391.51568161916055,-162.9845251979599,10.942424357672104,-2401.46714091789,-0.046654568591526,2366631.0250900984,1613669.6390524805,-2453.8635515881,28.55306298364833,-14.22276493824802,5.777735071917533,640.0220237160177,16.006698519598665
2017-04-28,10.99989242148621,45.95815691835552,1.024910909647848,209.33499608202405,405.8904044217513,164.43658179705085,432.7407588969989,-220.64187138320028,3.5820128731115557,-34.27489873188645,365.1461535147492,187.7136302651496,-481.0870498700783,78.74011458107888,-1195.5285254420078,1509.5433731660992,-992.083079286154,-5.984827882873606,-404.9313293393957,233.9342151053554,-25.42266820023906,4.159958723198873,-243.5930585349597,0.1631034637991861,391353.1101309359,352733.1686757207,-268.4732375970725,6.300218676749239,-2.848854931153596,-0.7715449679194535,-201.8998162067521,12.450641175839358
