date,excess_log_return,RF,log_Mkt-RF,rev2,rev3,mom1m,cashdebt,ep,grnoa,ibq_adj,invest,pchdepr,pchsale_pchrect,roaq,roeq,rsup,chsaleq,baspread,size,max,gammaps,bm,cash,gma,lev,sp,stdcf,cfp,oa,saleinv,roavol,first_lag_excess_return
2012-03-30,11.926047396608308,0.0,74.5189172420882,-485.60842542025904,-690.4381300384625,1940.5532991996045,3175.9219611966328,108.99313917079112,622.6834263236383,1154.6710223568457,60.25962028728166,2403.355090472597,166.81498812198632,315.7480887672239,380.77735898272056,-382.4896071812163,-223.99869020469785,130.36757407755408,386.1034094671886,346.547286805609,5.350707653878475,181.8193556102888,178.44045400295,-38.89161611783061,390.6838005702357,-152.80578594633243,-85.23227794197282,129.4269126025797,2248134.5063247085,38822.47125087096,-39.09785452680853,27.969590303183757
2012-04-30,-88.17889806557794,0.0,52.82198750239862,2676.887306146084,-483.1211919060249,2839.513412971868,2838.23600284481,43.73009314892036,-33494.19664464814,865.547771366416,26.920282873537737,2359.697535778847,140.00918449231153,252.95149612097512,-250.59332521267496,-319.4056654068844,-344.2367655733831,-191.2944584692561,57.479092982386646,-136.27604989135853,1.1699674339967694,-284.1226752790008,-89.6695044564367,-18.46734907353016,-202.13020465629413,-173.97362005445484,-161.9506380663397,101.13258991768294,855880.1762959361,-22770.049134907316,-20.123195486624013,11.926047396608308
2012-05-31,-171.36167425712878,0.0,-14.73994221058597,489.6934459909137,2683.0602727945425,2151.0010268489395,2467.555581027671,-35.39432554843805,-33904.828054738464,8.008622167294355,82.13969944519846,1485.1427061749414,-742.9245605801619,147.8734797547711,-448.83098228819546,-239.71119905699396,-810.536918376069,135.11243213520743,47.702477621282014,-22.89766430535383,-0.1668657130684314,-858.8994537430372,-79.109086398832,-53.70144441124762,-1095.5714082082686,-600.0919983225613,-295.7595527745616,-610.6678241170249,361357.8691781759,-395197.8027930036,-30.134609794562493,-88.17889806557794
2012-06-29,33.739721178903594,17.20379507589854,-109.9187164604192,183.63953245139555,487.2264685715466,-2821.359082552201,1958.997795899125,-73.04498969065251,1471.069265350349,-4019.1910266508967,200.1244558042736,949.7363332968262,-1600.8021503734535,180.8361959686121,541.1404642246714,-264.39745922215366,-795.4830760262206,110.99809250719704,-170.13049403684272,-123.1135572273297,-2.353255589899637,-1058.0619330009797,-79.42556734197296,-97.0565370521074,-1129.3321120263463,-768.7093610035272,-135.82359309959975,-276.5410148756349,-568756.8842278123,-107840.59886679938,0.0737903075532813,-171.36167425712878
2012-07-31,-39.45362702785167,0.0,65.61852235668682,-1145.402256968352,183.13309101655997,-2678.972825444632,5052.786468482008,2121.9941519037934,1055.210250300642,-2786.3349403480765,168.94683307658963,681.1734921329637,-1259.0497964558986,1616.7580359811104,445.3329989657953,39.03326797868792,-439.410341059925,-20.76907872219931,-197.3809831320468,-84.93735874689492,-2.04476129164083,-405.1892449152292,-23.30226064841645,2908.2163477598237,73.35442689396768,363.8904217375648,10017.047633277409,-1250.798473363331,-1828615.411183834,39981.08380292542,742.4775168018963,33.739721178903594
2012-08-31,34.130935864640385,0.0,13.545102865712746,-2238.3477101313333,-1148.6526336651723,-3357.584381836173,4338.989769174728,2200.358834817079,444.2671464089273,745.9855275442642,113.68442446854591,-400.4546907047621,116.39285533101366,1561.8459932135588,455.2483138183816,-91.93619711759304,383.16923243594215,-61.99214670380593,59.46840187409907,108.35834869387418,1.7750830404098834,965.4383886542672,23.80518079301146,40.611772320017735,955.41406109974,599.0648089803917,44.428980931703336,187.605938970255,1974805.384457469,-113442.85087159976,-2.795314656729716,-39.45362702785167
2012-09-28,2.5355393806161306,17.181963508190165,43.26041642563509,541.491920585641,-2227.7741724179477,-1647.6120348451716,1012.2432862453434,9.753411771005783,238.10460901648548,-2352.5494482431227,75.98222233424546,99.71453825585954,0.0,-2610.874578279477,649.0892535320789,-275.0585446073196,1272.2317020069488,136.28256357567193,-79.24897106430217,73.97369639712042,1.7587884636720077,1494.0775037548865,-0.5202755233558491,-2904.569824240992,1040.003996707932,295.5384822337892,-7906.051092275264,1435.0462868011637,-275740.56399929523,-108279.438701411,280.03124474089464,34.130935864640385
2012-10-31,-71.41195110449495,17.204785910164972,46.33479226470451,-472.9552406646462,540.8596859343996,600.9077907573028,945.5972228219788,-30.28862469931908,77.87580827449422,-2434.3422350400506,82.03968728053472,215.0863473805449,0.0,-2535.296048532673,465.92787971321104,-211.6224926254193,1430.8962639717083,-121.62061855116372,67.84266080928137,147.13463736875156,-1.6984369457566637,58.64288511067935,22.87310757022351,12.870262230387198,173.3270174142035,109.92149026699462,-110.1858264884313,-64.62186165531875,339713.8303192258,5289.868963118875,-39.78292486372288,2.5355393806161306
2012-11-30,14.935802248113358,17.212177081710397,-30.56010894031609,549.6791088365179,-475.458866098138,-832.7403222802419,780.6486142895633,-15.343947114193208,524.4748483292884,-2211.915804337445,153.7520605679872,106.44126195893368,0.0,-2517.5064707902684,456.5418973700659,-227.78355897959872,925.7836759829391,167.5522702615135,11.221288771263062,86.85370945616023,2.3206208242619937,24.7512363267233,-46.00674717358925,-15.49790343795098,74.89487770268897,-107.21559326016268,37.20990636358874,118.44631273111986,1482660.3452484012,70793.33086879738,-3.050405064816232,-71.41195110449495
2012-12-31,61.32109355937975,17.156133152940424,13.328528440454535,7.825894935042726,551.0496085446891,-9.27568959106238,766.8280834062759,-97.75711506188378,1896.7662836458712,-355.17503202947336,155.95055073206518,391.6752203079812,-1653.4131317584402,44.15404974799068,200.4376780326784,-363.01243025264057,411.3331799417637,-263.9880830115569,-138.2690117668135,-704.6169509180763,0.8960118984463871,-54.22060761638022,-115.43958594128162,-21.89392618670786,37.07647317330338,-42.56106515949341,-101.74171590463902,24.89289966667593,127164.01069289446,-49210.94645128935,-17.202905176907052,14.935802248113358
