date,excess_log_return,rev3,rev4,mom,mom1m,indmom,cashdebt,lgr,pchquick,agr,grnoa,chinvest,pchdepr,pchgm_pchsale,roaq,roeq,chsaleq,sfe,idiovol,log_Mkt-RF^2,size,max,log_Mkt-RF_lag1,bm,depr,acc,oa,currat,operprof,saleinv,rd_sale,first_lag_excess_return
2020-02-28,-33.60715982254138,24.39808629451988,-32.21759196237414,1209.7175609634482,694.7525959875163,-139.7617472764353,-1000.382061081549,124.33159582760824,162.6385074880165,120.16228046217331,47.47179216296515,-15523.77477764802,-328.46442644342085,50.26445949192294,-131.3316719867151,261.61808612172683,93.38650033097746,-355.0355059229489,-0.0409350279573885,-0.294452548083332,13.073537969027711,10.871251037742354,-60.97905404115116,-76.13576357645434,-25.362436291526365,-9.583958927337504,-170582.65289696306,-228.822274204731,-7.009286114566748,28823513.069481254,1069.569578595634,0.6566752270591661
2020-03-31,-121.76145428361764,564.5085211163514,22.856027122919244,852.7274896494846,186.90321159559332,-152.46246521774492,-1012.5529364786328,-51.64417357458324,247.740709977102,65.79732519204023,-31.159807128152668,-15511.929547992291,636.5555211604088,-8.563962074962763,-162.87458158980573,-291.47139379456456,36.99832504401018,-344.494091680453,0.295319650740879,2.8441728305385934,1.966097464147424,-89.5344463570932,-164.00175558171676,-617.161482954093,51.37329966106984,-163.54297124351808,-280590.18346627057,105.4628296744977,29.723167483983215,-12034811.893714666,-3379.4551247964846,-33.60715982254138
2020-04-30,52.46135948755671,96.13273816316762,552.9168440465711,593.6992443434959,-1997.7038923574928,-35.64372399953049,-47.88043524417753,-13.727039257082073,240.0439733864012,-50.86923515458953,-29.16757651795516,11443.896123959032,485.61390724751936,-23.178778541942663,-1.0224412991744507,444.6462999755028,81.54306508098075,-343.87393917944297,-0.0442415800119704,5.27058316187097,-65.94235364615088,-37.48862716051394,-477.5439374738007,180.30415844774143,9.189568670326253,133.10760105509183,236607.54692141712,-170.24656870575382,230.6588000545537,-3898796.61389935,19214.634791349963,-121.76145428361764
2020-05-29,24.19830368112484,24.473697168627854,99.90655137955947,1228.955076399668,-1198.5170414389484,-171.74507383318428,-60.1328606444637,25.100481413582305,98.59447683586929,-74.83895973299374,-19.16682841846328,11347.304781518536,399.2078813052198,12.6863805956747,-5.125454836255941,297.868339210183,25.316981057953317,-908.0578778937472,1.4981027608461377,-1.807439625377925,-235.78690930056928,-36.172426480005015,-301.9439187094142,410.3415949016066,-15.323448778251532,155.32024684355386,-381263.3209936097,-347.9773521901534,-56.94664365971573,51927227.00593066,-8055.669232052838,52.46135948755671
2020-06-30,-16.325639899446923,-462.2592182508598,20.68079210968706,1291.321843638232,-883.6135359985553,-21.41899756331704,-16.611801757085313,290.1670851898326,803.2271736777444,172.82627445994282,-43.90016468196805,38596.22596577996,-340.70092448925806,71.96173205188117,23.609962648779582,-202.03749845456167,-115.99768702923544,-1024.345049319708,1.0125480262465842,-5.161444192449889,101.7490939562631,151.77374905632178,1499.7923664416298,65.11925115026315,-55.69807923640872,175.06712012856542,1141576.4701515064,1500.6390399558022,-85.27242960724618,23275968.5528388,35726.578022860194,24.19830368112484
2020-07-31,40.59497158872522,-1554.6415311784497,-469.2314721242095,1325.707209401859,-668.3315206271636,81.45560760668361,-16.87670852520384,292.9615073600922,809.0214299698632,173.98895379319814,-43.90559766153907,39078.88231946013,-346.6495535364244,68.39068648800188,23.74036700465444,-189.91313773760027,-115.29568207846084,-1245.9611124049138,0.2293803081523719,-0.9156580842204748,53.08392165029818,60.775406303155705,-408.1209832046883,3.23247312481908,2.508568370714528,1.0067526339216997,331500.67559529096,122.26526584494786,-2.3204069240382523,5947070.824287891,2244.7843669559807,-16.325639899446923
2020-08-31,7.652833084249714,755.1065005870795,-1542.978482811702,393.08661867839487,1473.0270525815786,-82.15339653116548,17.187030678746797,264.85396506181365,11.398715540086098,233.82010319861573,-199.2991993559792,39667.07108917187,-72.5938308885933,-16.697839657174942,43.197169523024414,-155.3368636768828,-248.39575482312156,-1254.8006826403146,0.0320868766055681,0.995716342336429,-29.384153600405625,-54.58432159900212,-169.66272822824243,-375.7533306043336,5.869876447256445,-161.9550191190546,-482954.2595273107,-790.8285817427295,3.2232586843898616,-32720208.49543047,3890.149879386561,40.59497158872522
2020-09-30,-14.701942583862508,384.6552666754804,762.3933182533399,-854.7760670955146,842.4926200876674,-31.76637105944097,324.4872521660403,98.20054224464464,-496.6129169777727,225.27159289239077,-318.942080632442,10709.932847221356,276.4778170658561,-23.59019702783511,111.69605141152483,612.1157323213305,-359.9132212613324,-1352.2550874062376,0.3937746620087381,0.8964857405649149,83.51826440028435,90.5698306923623,182.8258498250512,-414.8457784659727,4.899210147862959,-115.38917163302204,722204.9457756877,95.0481105841427,807.0192276266042,-193348.250718832,-10848.496239893837,7.652833084249714
2020-10-30,-4.3542458502642045,-252.32008238453852,388.3021958713192,-141.0696055575779,221.60983529317883,114.43376583903596,295.69010094378024,191.77873733554569,-499.93668322835504,231.37855556840407,-352.5453179590803,10586.234946288285,334.4287680027487,28.630274454941727,65.06092898419703,1577.8507372956683,-334.92393835937906,-1409.608788101198,0.7854973388807664,-1.5690372528737586,156.32715688378175,31.105254701808462,110.62210431747252,-108.5001393679645,19.096847446166493,-12.104978866585157,32225.86212681234,78.58894697674259,389.0760928061766,3314050.3584554195,-1555.9890329888149,-14.701942583862508
2020-11-30,64.2219701826056,603.4554474848403,-251.42224591042176,307.7281463594625,436.134266309332,-58.39548727866801,310.73778443129515,20.44376049551761,51.410948910382885,82.39145509291706,-258.3248908512991,10444.838288184776,390.5015851140026,-167.92915126108795,73.32994094988402,1724.0752025559782,436.42725564035953,-1376.8732446918962,0.6598103708762366,-0.372116741864093,-39.06008013584869,-11.589780666761271,-644.201762322688,355.1796358006627,9.772661606267036,-109.33014088476348,343184.42775364965,179.0086372441201,-20.396090241524465,64358395.46677232,-3748.819318332157,-4.3542458502642045
2020-12-31,32.352949925905186,117.46813379547396,607.3527710606959,256.5905388586253,747.7312477295154,17.879309139437577,21.964610739847764,-52.26526685286533,559.3364602958561,-18.316417006299,131.43988171493072,7594.71896174458,92.66729098076364,-314.0612862594662,41.18985761104658,853.0533465992403,623.831035113268,-20.723951559161232,0.0343811781743923,5.386148872485213,-6.969291252637959,21.50281555256595,91.5643415656473,-1461.895526570086,-12.174044356490924,-66.72359734802302,39057.6824150905,15.34736307305502,-280.678218809139,1132820.0968692305,38700.99904978651,64.2219701826056
