date,excess_log_return,log_Mkt-RF,baspread,log_Mkt-RF^2,rev2,rev3,mom1m,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,chatoia,lgr,agr,chtx,pchdepr,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,roaq,roeq,chsaleq,sue,RF,size,aeavol,stdacc,salerec,tang,chnanalyst,first_lag_excess_return
2018-07-31,0.5023363213361814,0.7820147418262899,174.8724871087909,0.0037387022753074,-13.881144709814116,-39.09164967371797,88.10035568654433,-8.517390209343839,58.99708090199818,6.5299184205817165,-53.65375000842519,-117.37431307641552,-80.67417243612802,-12.565785280317549,-1616.508339198006,-36.376562845970696,0.0,-629.9142230676513,-535.3280972703692,2226.7318471360245,1.0704556152922462,12.598151438926868,-113.37973561308262,-0.1513615219368272,0.1108777720799878,19.58708498100168,-2.120299221816367,0.023791839741456,156.8731416998553,32.688363017786855,682.8541392791415,0.7441056332051579
2018-08-31,11.160492060906966,5.132496106705468,154.50960277294533,0.1609093994078689,122.23541348742134,-14.685063713453872,141.07920376194693,35.4106439385021,10.824680965903736,59.13535191303329,6.545222540856589,-112.59177501141616,-75.95900346261278,-36.43480874867717,-2003.338545178081,10.977229003051638,0.0,-572.4214176965457,-347.29296277703133,2260.704960600203,-4.643478164425487,-4.953119097288717,-91.40003060162884,-0.150602028239172,3.2935564985870585,5.29411189100847,107.09486937841712,-0.6748004909191216,56.33700435630772,-1.8306257998898443,-156.17953272446834,0.5023363213361814
2018-09-28,15.545725304631752,5.529416122995063,183.20842480362603,0.1867125895614086,20.530942608378425,123.42569425657256,257.93029503103884,3.741152060792615,71.04116406071036,10.83336126613412,59.182772489256415,101.37009014237248,339.9211784519987,217.6116076914735,-1657.3866158256517,381.5858290921592,71.73186420053547,-121.1552821158374,515.2322671286352,147.1553593511526,13.6783375156284,44.39423064887162,378.5858242516623,-0.2716698995043711,0.0065811872607923,1.8156360800571747,-1746.4255255165804,-0.5788741324498652,-37.81896001499717,-4.855494038388315,512.8264656161809,11.160492060906966
2018-10-31,-37.84749295281485,0.0986447286074808,173.68963340669285,5.896962957537852e-05,11.627192143499071,16.105616933599464,366.204438509763,37.24565031111357,77.35656583879253,71.82169311565717,10.952387373641692,128.668517706923,385.6252717205792,228.19449317646183,-1719.9856329625416,489.69541763077626,115.18259016268028,-128.43950682790847,580.4195181136909,188.71264513981444,9.18348996388034,37.520855903298624,441.10249804137686,-0.1962554346715736,-1.4482008063186882,24.896384862704963,54.89925295066223,5.918788663432796,44.20939282546669,19.722880849488547,200.6018195803049,15.545725304631752
2018-11-30,4.824074906435268,-13.289883079232045,125.4168916604558,1.059913882199276,183.45801706444084,6.700453259885028,-82.37639029364391,-60.7010727929073,1.3925095084650645,78.6571089327179,73.02918217573581,104.668885363996,126.15426251981889,177.09158076270336,-1783.736186103904,69.17910798382738,132.65168370969408,154.85123758575708,282.96260808366486,178.3876504009831,7.130688326512015,35.65050377415798,244.38916251854735,0.0138704464720699,6.9090333185030985,38.51504587394493,-415.3492574214261,7.074470201511605,669.0390249156021,40.89386361997549,-638.9015115820494,-37.84749295281485
2018-12-31,-25.51451076752855,2.740265733764843,66.37725613858255,0.0458372596516636,219.484826692346,155.18522743262037,-44.452538873220334,6.723131085191963,-179.91637957241898,1.348577161403495,76.1755521551984,78.08386494338838,17.75855483136133,115.8690860363381,-670.2275759558747,72.2128191454521,-73.93790562304761,144.69344680867073,-530.2187548175451,29.49213710266646,17.297484412850128,63.2017813090149,193.3161483186246,-0.1176618119844817,-2.173466066163197,-73.49027769351778,-109.56433162900316,-4.401590752684729,-73.96315973106039,-26.02770190792557,482.8648177604279,4.824074906435268
2019-01-31,14.46597246985557,-15.305422465630311,66.54444218825975,1.533214102964491,-361.6161934502277,42.83883157990201,-609.3460265464807,32.075334849212446,35.72299742574436,-170.32223476368995,1.2766635057207896,84.8988127596283,57.1342017106394,59.11220177859004,-687.012967781272,75.58977183198573,-12.06231666503355,88.14408968312179,-386.2795198354902,92.72520585320548,27.32018775943066,78.83864088923922,257.2426744233717,-0.0962380942578848,-0.457960044733575,-120.29756841061636,109.17817821995754,-28.03736694741863,-634.5357876283297,-73.05783334624232,-30.27686176635899,-25.51451076752855
2019-02-28,4.759799999117033,12.162484801034996,148.4864938665791,0.980118296684646,67.7134750861797,-353.2847268192782,-433.3286333978855,5.065179715889318,-208.6882906568561,34.84709375507274,-166.1460490744399,82.35232423966869,55.86273918911969,57.66534216551513,-673.3469590773815,73.08195398273452,-12.653986292501727,85.64209269646835,-374.0830917417617,89.17357486392359,26.57003418219638,76.78138990445281,249.90371284754556,-0.0965343815575989,2.6649846361999536,-52.36370657975749,-44.299242031737776,-0.0054950620930911,-69.28485142459795,-23.631621948510656,567.9651363482876,14.46597246985557
2019-03-29,-8.846790577079858,5.072278613708712,104.40974635666625,0.1692826069136314,-355.545343817891,68.66989609003284,-13.288553910783747,2.216181652439576,170.24226377118197,-211.62583431875177,35.337609342092506,-30.842470390035228,-76.48213323838856,-49.19526615264789,-12486.580853800073,71.93853352454337,-289.39832633581466,164.88984090651147,90.45083061085298,-173.52615448657224,4.632952847613451,20.32021118997693,-80.73360722955182,-0.3322240277784904,-4.3377429390480735,29.32424549814459,1814.491438767065,0.015135322170027,333.450106585628,18.672598730783307,-686.703198683466,4.759799999117033
2019-04-30,5.32477196946443,1.788828571638874,95.4972592896912,0.0195295425685076,207.39687326476985,-357.2709008821546,-187.4869091160028,-7.401877596010259,75.2489678171424,181.6968907100956,-225.86492471299016,-46.0737342703308,-143.8774379739577,-37.33577575983995,-6447.223148864357,149.61627408141652,-78.50217771758531,234.5917745460646,-104.20480453810296,515.3103642720772,-34.768874450376686,-49.2696311495524,-147.7943450461127,-0.3546047988618567,3.774555651923862,142.14276635515853,207.90247211023552,28.471381084426923,672.7977576061794,96.39150401729876,658.9656613626348,-8.846790577079858
2019-05-31,-21.47289070920141,6.314710686400435,108.51278954374074,0.2447202601046922,89.37553843500274,206.20245460136564,267.9646530433643,19.44965181993148,24.373407092638917,74.50786718862922,179.90742191324296,-42.08885677054144,-78.13163607228138,7.461151429645008,-6360.003293793869,4.254256126545869,-118.48240436281571,247.35544505390604,-46.50575304273492,452.5416616242141,-29.97315275288304,-34.29805857648022,-138.0242743058015,-0.1989327032905925,3.0867077819449555,-22.20587771625742,-571.2313094108868,-0.8119250952927679,211.7086490595993,-6.615035003043886,683.605924825564,5.32477196946443
2019-06-28,25.296832293733846,-11.717584904943951,88.91111011210246,0.8409906750687857,-121.62470992168122,89.55083666515672,-217.6357981441008,-22.312325582203595,86.97550227808037,24.50212921669307,74.90136206962032,-61.2800051337764,151.51740339165042,169.44575261312443,-985.7863554656471,-540.9637574271565,-301.076066024256,-65.80542874002488,-3331.684419917855,-261.9681792385939,-6.054471276745255,2.765996950107088,-177.29890783224974,-0.1260561434405271,0.0668830996000551,11.790435567153054,43.85090873332501,-1.7285003369751273,-250.14514274126668,-3.8991862689044874,-223.0245491396597,-21.47289070920141
